"";"banalfreq";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"milhão";11;-0,0511;0,3745;-0,0997;-0,1257;-0,4541;0,7947;-0,0635;-0,388;-0,0357;1,1503;-0,3022;-0,0624;-0,2849;-0,2754;-0,001;-0,0862;-0,0025;0,7393
"alguma";10;-0,0465;0,406;-0,0906;-0,1143;-0,4128;-0,2053;0,9052;0,2548;-0,0325;-0,1798;-0,2592;-0,0568;-0,259;1,2723;-9e-04;-0,0784;-0,0023;-0,3213
"ninguém";12;-0,0558;-0,2599;-0,1087;0,5674;0,5262;1,235;-0,0692;0,2057;1,0664;-0,2157;0,588;-0,0681;-0,3108;-1,3384;-0,0011;-0,094;-0,0028;-0,3856
"passo";11;-0,0511;-0,2382;-0,0997;0,5998;0,1881;-0,6603;-0,0635;0,6785;-0,0357;-0,1978;0,6657;0,8732;0,3178;-0,2754;-0,001;-0,0862;-0,0025;-0,3534
"frente";10;-0,0465;-0,2165;-0,0906;-0,1143;0,2122;0,8913;-0,0577;0,7439;-0,0325;-0,1798;0,3473;-0,0568;-0,259;-0,5209;-9e-04;0,7823;-0,0023;-0,3213
"conseguir";11;-0,0511;0,3745;-0,0997;-0,1257;-0,4541;0,3719;0,8666;-0,388;1,1026;-0,1978;-0,3022;-0,0624;0,3178;-0,2754;-0,001;1,8039;-0,0025;-0,3534
"amigo";12;-0,0558;-0,2599;-0,1087;-0,1371;1,0558;0,711;-0,0692;-0,4233;-0,039;-0,2157;0,588;-0,0681;0,8227;-0,6836;-0,0011;-0,094;-0,0028;-0,3856
"ministério";13;-0,0604;0,3214;-0,1178;-0,1486;0,9709;-0,3138;-0,075;-0,1362;-0,0422;-0,2337;-0,3927;-0,0738;-0,3368;0,4726;-0,0012;-0,1019;-0,003;0,6271
"mundo";18;-0,0837;0,2273;1,2823;-0,2058;0,3055;0,7105;-0,1039;-0,6352;-0,0585;-0,3237;0,2906;-0,1022;0,553;-0,4066;-0,0017;-0,1411;-0,0042;-0,2012
"chamar";20;-0,093;0,1998;-0,1813;0,3879;0,9953;-0,2898;-0,1154;-0,2753;-0,065;-0,3597;1,1936;-0,1136;0,49;-0,8661;-0,0018;-0,1568;-0,0046;-0,2384
