"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"grande";1;1;0;1;10;7;2;2;2;0;10;0;0;16;0;1;0;3
"fundamental";0;0;0;0;2;0;0;1;0;0;2;0;1;3;0;0;0;1
"mato_grosso";0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;1;0;1
"papel";0;0;2;0;0;2;0;1;1;0;0;0;1;1;0;0;0;3
"presidência";0;0;0;0;4;0;0;4;0;1;1;0;0;0;0;0;0;0
"supremo_tribunal_federal";0;0;2;2;0;1;0;5;0;0;2;0;2;1;0;0;0;4
"bilhão";0;0;0;0;0;2;0;0;0;1;2;0;0;16;0;0;0;3
"ficar";0;2;2;0;7;8;0;1;0;0;3;0;0;9;0;0;0;1
"todo";3;7;5;6;9;22;3;11;2;8;25;4;5;48;0;8;0;14
"prefeito";0;7;0;1;4;6;1;2;0;3;2;0;0;0;0;0;0;2
"querer";2;6;3;1;18;18;1;16;2;6;21;2;1;41;0;7;0;6
"obra";0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;6
"aprovar";0;0;0;0;3;1;0;3;0;2;2;0;5;4;0;0;0;0
"divulgar";0;0;0;1;1;2;1;1;0;0;13;1;1;10;0;1;0;1
"cada";0;2;0;0;1;2;3;1;0;0;1;0;2;2;0;1;1;0
"nome";0;1;1;0;0;2;0;0;0;1;2;0;2;6;0;0;0;0
"contra";0;0;0;2;1;6;0;0;1;1;1;0;5;4;0;1;0;4
"importância";0;1;0;0;4;0;0;0;0;0;3;0;0;2;0;0;0;1
"país";3;4;0;0;6;3;1;2;0;3;4;3;2;13;0;2;0;10
"parlamentar";3;7;2;3;3;21;1;5;0;0;15;0;4;4;0;0;0;4
"organizado";0;0;0;0;0;2;0;0;0;2;1;0;0;4;0;0;0;5
"voz_do_brasil";1;2;0;1;4;3;0;0;0;0;0;1;1;8;0;1;0;1
"exa";0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0
"representante";0;2;0;0;1;0;0;2;0;0;2;0;0;5;0;0;0;0
"porque";0;0;6;0;8;13;0;7;1;2;6;0;10;26;0;0;0;1
"autista";0;0;0;0;15;0;0;0;0;0;2;0;0;0;0;0;0;0
"habitacional";0;6;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0
"assumir";0;0;0;0;1;2;0;2;0;2;0;0;0;2;0;0;0;1
"art";0;0;2;0;0;8;0;4;0;1;3;0;0;0;0;0;0;0
"ser";2;9;19;2;11;40;2;8;1;9;11;0;5;31;0;0;0;7
"pagar";0;0;0;3;0;7;0;0;0;4;0;0;1;1;0;0;0;1
"parecer";0;1;0;1;0;0;0;8;0;0;1;0;3;2;0;0;0;2
"são_paulo";0;0;0;0;1;2;0;0;0;8;9;0;0;2;0;1;0;1
"considerar";0;0;0;1;0;2;0;6;0;0;5;0;0;1;0;0;0;0
"dizer";0;3;1;2;12;20;0;5;0;1;6;2;10;20;0;0;0;8
"pessoa";2;1;1;0;5;4;0;2;7;1;6;0;1;13;0;2;0;4
"criar";0;0;0;0;1;1;1;1;0;0;1;0;0;7;0;1;0;0
"chegar";0;0;0;0;0;5;0;0;0;0;5;0;2;6;0;1;0;1
"judicial";0;0;2;2;0;1;0;2;4;0;0;0;0;1;0;0;0;0
