"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"amazona";-0,0837;-0,3899;-0,1632;-0,2058;-0,2966;-0,5161;-0,1039;-0,6352;-0,0585;-0,3237;1,4011;-0,1022;-0,4664;-2,0084;-0,0017;0,5569;-0,0042;5,914
"colocar";-0,0837;0,2273;1,2823;-0,2058;-0,7434;-1,081;-0,1039;1,9851;-0,0585;-0,3237;-1,2559;-0,1022;1,7514;0,4127;-0,0017;-0,1411;-0,0042;-0,2012
"primeiro";-0,079;-0,3682;0,5248;-0,1943;0,3332;-0,4739;-0,0981;0,4125;-0,0552;0,2964;-0,2775;-0,0965;0,1956;0,777;-0,0016;-0,1332;-0,0039;-0,1833
"justiça";0,4172;-0,4563;-0,4085;0,9553;-1,8612;-0,8235;-0,2601;0,328;0,5434;-0,3466;-1,5515;-0,2559;1,8553;2,178;-0,0042;-0,3532;-0,0104;0,3971
"esperar";-0,0883;0,213;-0,1722;0,405;-0,7847;0,3451;-0,1097;0,3539;-0,0617;1,4032;-1,3258;-0,1079;3,2857;-0,7922;-0,0018;-0,1489;-0,0044;-0,2196
"forma";-0,1116;0,4857;-0,2176;-0,2744;-0,4602;-0,4144;-0,1386;0,9498;-0,078;0,2007;0,8743;-0,1363;0,3889;-0,2748;-0,0022;-0,1882;-0,0056;-0,3173
"passar";0,5489;0,3478;-0,2812;-0,3546;-0,6683;-0,6622;-0,179;-0,2512;-0,1008;-0,5579;1,1105;0,477;-0,8038;0,5942;-0,0029;-0,2432;-0,0072;1,181
"desde";-0,0837;0,2273;-0,1632;-0,2058;0,3055;-0,5161;-0,1039;-0,6352;-0,0585;-0,3237;1,4011;-0,1022;0,553;-0,2123;-0,0017;-0,1411;-0,0042;0,4308
"precisar";0,2857;-0,2387;2,5678;-0,3284;-0,6022;-1,7366;-0,3935;0,3574;-0,2215;0,5274;-2,2098;-0,3871;4,5677;-0,2815;-0,0063;-0,183;-0,0158;0,6801
"resolução";-0,0651;-0,3032;-0,1269;-0,16;-0,578;1,0192;-0,0808;1,0453;-0,0455;3,8028;-0,4399;-0,0795;-0,3627;-1,5617;-0,0013;-0,1097;-0,0032;0,1904
"emprego";-0,0511;0,3745;-0,0997;-0,1257;-0,4541;-0,2401;-0,0635;-0,388;-0,0357;-0,1978;-0,3022;-0,0624;-0,2849;1,0961;-0,001;-0,0862;-0,0025;1,4131
"ministro";-0,1582;1,6374;0,8095;1,242;-0,405;-1,2614;-0,1964;-0,302;-0,1106;-0,2244;0,4072;-0,1932;2,5433;-2,0233;-0,0031;-0,2667;-0,0079;0,356
"registrar";0,7351;0,6283;-0,1722;-0,2172;0,2804;-1,1411;-0,1097;0,3539;-0,0617;-0,3417;0,8567;-0,1079;-0,4923;-0,2493;-0,0018;0,5371;-0,0044;0,4014
"comissão";-0,1256;-0,5852;-0,2449;-0,3088;-0,2581;-0,5165;-0,1559;0,4524;-0,0878;3,214;-0,3802;6;-0,7;-0,9607;-0,0025;0,4136;-0,0062;-0,3799
"voto";1,4511;1,349;0,3539;0,786;-1,157;0,5373;-0,1617;1,2043;-0,091;-0,5038;0,3948;-0,1591;0,6603;-3,126;-0,0026;-0,2196;-0,0065;-0,4014
"investimento";-0,0465;-0,2165;-0,0906;-0,1143;-0,4128;-0,2053;-0,0577;-0,3527;-0,0325;-0,1798;-0,2592;-0,0568;-0,259;0,7654;-9e-04;-0,0784;-0,0023;2,4209
"fazer";-0,1986;-0,3273;1,2281;-0,4094;-0,2815;0,5143;0,5533;0,2837;-0,2585;0,5105;-2,7302;-0,5927;0,4047;0,4077;-0,019;0,3069;0,9854;0,872
"ano";-0,2375;1,4419;-0,1449;-0,2099;-1,3239;1,5812;0,3073;-1,803;-0,166;-0,1816;-0,9687;0,3122;0,242;-0,2956;-0,0047;-0,4005;-0,0118;1,5748
"unidade";-0,0837;2,8719;-0,1632;-0,2058;-0,7434;-1,081;-0,1039;-0,6352;-0,0585;-0,3237;-1,2559;-0,1022;-0,4664;4,9753;-0,0017;-0,1411;-0,0042;-0,5785
"caixa_econômica";-0,0651;-0,3032;-0,1269;-0,16;-0,578;-0,8406;-0,0808;-0,4939;-0,0455;-0,2517;-0,9766;-0,0795;-0,3627;9,0472;-0,0013;-0,1097;-0,0032;-0,4499
"inteiro";-0,0465;1,0865;0,7252;0,6358;0,6424;-0,6003;-0,0577;-0,3527;-0,0325;-0,1798;-0,6974;-0,0568;0,9565;-0,5209;-9e-04;-0,0784;-0,0023;0,2817
"qualquer";-0,0883;0,6283;0,485;0,405;-0,7847;0,3451;-0,1097;-0,2539;-0,0617;0,2638;-0,6907;-0,1079;2,425;-0,4603;-0,0018;-0,1489;-0,0044;-0,2196
"ouvir";-0,2562;-1,1938;-0,4995;-0,63;-0,945;-2,3461;-0,3181;-1,9449;-0,179;-0,4677;22,4915;-0,3129;0,6749;-2,6212;-0,0051;-0,432;-0,0127;-1,0514
"crime";-0,3029;-0,7737;-0,5907;2,1797;-2,6914;0,6756;-0,3761;-0,3763;0,4136;0,5695;1,923;-0,37;0,2809;-1,5749;-0,006;-0,5108;-0,0151;1,3991
"cautelar";-0,0511;-0,2382;-0,0997;-0,1257;-0,4541;-0,6603;-0,0635;4,1406;-0,0357;-0,1978;1,8214;-0,0624;-0,2849;-1,2268;-0,001;-0,0862;-0,0025;-0,3534
