"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"família";0;6,56;0;16,39;10,56;0,82;0;1,36;42,86;0;2,87;0;0;6,11;0;0;0;0
"caso";0;0;0;16,39;0;7,42;0;6,82;0;2,62;5,02;0;14,71;2,82;0;0;0;0
"prisão";0;0;0;12,3;0;14,01;0;4,09;0;2,62;9,33;0;23,9;4,7;0;0;200;2,99
"junto";0;0;0;0;7,04;0;32,26;0;0;2,62;0,72;0;0;0,47;0;0;0;0
"luta";0;0;0;0;2,35;1,65;0;1,36;14,29;0;1,43;8,2;0;6,11;0;0;0;1,49
"oportunidade";0;2,19;0;0;1,17;4,12;0;1,36;0;0;2,15;8,2;0;0,47;0;0;0;2,99
"respeito";10;0;0;0;10,56;3,3;0;2,73;0;0;0,72;0;3,68;1,41;0;5,95;0;0
"então";0;4,38;10,31;8,2;8,22;5,77;0;2,73;14,29;0;7,17;0;1,84;6,58;0;0;0;2,99
"processo";0;0;0;4,1;1,17;6,6;0;5,46;0;0;0,72;0;1,84;0,94;0;0;0;1,49
"polícia";0;4,38;0;0;1,17;2,47;0;2,73;0;0;1,43;0;7,35;1,41;0;0;0;0
"lado";0;8,75;10,31;0;1,17;0;8,06;0;0;0;1,43;0;0;1,88;0;0;0;0
"viver";0;2,19;0;0;4,69;1,65;0;2,73;0;0;0;0;3,68;1,41;0;0;0;4,48
"líder";20;0;0;0;12,91;0;0;12,28;0;0;0,72;0;1,84;0,94;0;0;0;0
"atender";0;4,38;0;0;0;0;8,06;0;0;0;9,33;0;0;4,23;0;5,95;0;0
"srs";10;6,56;0;0;0;0,82;8,06;5,46;0;0;3,59;0;1,84;2,35;0;0;0;1,49
"imunidade";0;0;0;20,49;0;1,65;0;1,36;0;0;2,87;0;1,84;0;0;0;0;0
"empresa";0;0;0;0;0;0;0;1,36;0;21;0;0;0;0;0;0;0;16,42
"aí";0;0;0;0;1,17;1,65;0;1,36;0;5,25;0,72;0;1,84;1,41;0;0;0;0
"discutir";0;0;0;0;0;0;0;2,73;0;2,62;0;0;1,84;2,82;0;0;0;0
"último";0;4,38;0;0;1,17;0,82;0;2,73;0;2,62;0,72;0;0;1,88;0;0;0;0
"agora";0;2,19;5,15;4,1;7,04;14,84;8,06;2,73;14,29;2,62;24,39;0;7,35;6,58;0;0;0;2,99
"pronunciamento";0;4,38;0;4,1;3,52;0;8,06;0;0;0;9,33;0;0;6,11;0;5,95;0;0
"juiz";0;0;0;0;0;4,95;0;1,36;0;0;0;0;1,84;0;0;0;0;4,48
"defesa";0;2,19;10,31;0;1,17;0;0;2,73;0;0;0;0;5,51;0;0;17,86;0;0
"pedir";40;4,38;0;4,1;7,04;5,77;24,19;6,82;0;7,87;1,43;24,59;0;5,17;0;5,95;0;7,46
"brazão";0;0;0;4,1;0;7,42;0;10,91;0;0;2,87;0;14,71;4,23;0;0;0;4,48
"transporte";0;6,56;0;0;0;0,82;0;0;0;10,5;1,43;0;0;0;0;0;0;2,99
"chique";0;0;0;4,1;0;3,3;0;9,55;0;0;2,15;0;12,87;1,41;0;0;0;4,48
"sociedade";0;2,19;0;4,1;2,35;0;0;0;28,57;0;0,72;0;5,51;0,94;0;0;0;0
"existir";0;2,19;0;4,1;0;3,3;0;1,36;0;2,62;0;0;0;2,35;0;0;0;1,49
"moradia";0;0;0;0;0;0;0;0;0;0;0;0;0;7,52;0;0;0;0
"reconhecer";0;4,38;0;0;3,52;1,65;0;0;0;0;0,72;0;0;0,94;0;0;0;0
"decisão";0;4,38;0;12,3;0;5,77;0;8,19;0;0;3,59;0;5,51;4,23;0;0;0;5,97
"enfermagem";90;0;0;0;0;0;0;0;0;0;0,72;0;0;0;0;0;0;0
"ter";0;0;15,46;0;7,04;9,07;0;5,46;0;5,25;7,17;16,39;3,68;13,63;0;0;0;2,99
"governador";0;10,94;0;0;1,17;2,47;8,06;1,36;0;0;0,72;0;0;4,23;0;0;0;0
"vir";0;2,19;5,15;0;10,56;5,77;24,19;1,36;0;13,12;5,02;8,2;5,51;5,17;0;0;0;16,42
"obrigar";0;4,38;5,15;0;31,69;2,47;0;0;0;0;4,3;0;0;0;0;0;0;0
"guarda";0;0;0;0;0;0;0;13,64;0;0;0;0;0;0;0;0;0;0
"levar";0;10,94;0;0;2,35;0;0;2,73;0;2,62;0,72;0;1,84;2,82;0;0;0;0
"projeto";70;2,19;0;0;9,39;1,65;16,13;0;0;15,75;5,74;32,79;0;5,17;0;17,86;0;11,94
"morte";0;0;0;0;0;2,47;0;1,36;0;2,62;0,72;0;1,84;1,88;0;0;0;1,49
"voltar";0;2,19;0;0;1,17;2,47;0;1,36;14,29;0;0,72;0;1,84;1,41;0;0;0;0
"a";0;0;0;4,1;2,35;0,82;0;0;0;0;2,15;0;0;2,35;0;0;0;1,49
"dentro";0;0;0;0;1,17;2,47;0;1,36;0;0;0;0;3,68;2,35;0;0;0;0
