document,Bormuth.GP
text297,7270478.776433978
text298,2570911.40738882
text299,146965159.6695706
text300,-498710.9827375651
text301,170568869.15782005
text302,31316579.17613063
text303,-467464.7744290552
text304,39190797.969466336
text305,-180058.63487732533
text306,116759783.03423834
text307,12471817.252295846
text308,18858468.697834473
text309,50779352.87883946
text310,10524116.174709462
text311,27203228.64225211
text312,9843630.855577402
text313,6122829.027006488
text314,1700379.7978475238
text315,-498710.9827375651
text316,40673349.800741985
text317,409129204.72947
text318,130908461.50529066
text319,292842982.67559564
text320,73217127.36729139
text321,44360732.75167574
text322,33680106.933296196
text323,1173888090.2764482
text324,22477308.97992432
text325,96551510.21746552
text326,-468808.32010939263
text327,2560005.0019447906
text328,10874193.298714623
text329,3354063.002469047
text330,128217777.25123292
text331,14057247.974026747
text332,13173567.260950705
text333,44744877.84153345
text334,72551196.559736
text335,1618358.711272018
text336,29122635.030032337
text337,13228641.9958967
text338,669667416.6139525
text339,56831672.05516967
text340,-507308.3708883608
text341,5318223.321303116
text342,31272940.415897116
text343,11765545.695589952
text344,12350061.835218897
text345,10402345.102835245
text346,37247007.04140778
text347,-523648.31876995275
text348,2480187.092084656
text349,364208489.15469027
text350,212647721.73346195
text351,128631910.35053755
text352,136336528.91065755
text353,1298748056.0107555
text354,50360393.307832815
text355,-547179.2366305855
text356,-507308.3708883608
text357,443963.7965400822
text358,1383367.7758400259
text359,3142094.2749997824
text360,5545993.454351118
text361,13102907.322702412
text362,1618358.711272018
text363,11802049.960135149
text364,65193946.18956242
text365,178707576.71474394
text366,218693411.13704523
text367,39140293.98810121
text368,43484422.36649417
text369,98383700.73653448
text370,65857908.5551024
text371,597075796.3286796
text372,112457752.3042864
text373,-507868.34351922834
text374,239584.92167312128
text375,7136622.668629382
text376,-40960.83547462203
text377,362400521.0161021
text378,617587078.6883342
text379,100785989.68001291
text380,44243212.61850208
text381,410468424.2284521
text382,184891722.11352313
text383,210475722.62884575
text384,-498710.9827375651
text385,845228.9840841016
text386,38548207.0291317
text387,16681064.93412747
text388,4694938.678300042
text389,-507308.3708883608
text390,290706362.6184074
text391,23168321.8612733
text392,32277728.639951237
text393,2607664.4777740156
text394,-507308.3708883608
text395,10078091.50705273
text396,89365695.13530368
text397,-470320.14505032555
text398,11563086.747041915
text399,126781288.86626458
text400,134075138.121816
text401,11048570.924647395
text402,457639467.69182825
text403,16156525.572882501
text404,499934401.85480636
text405,66757549.439821854
text406,45468481.35208602
text407,-507308.3708883608
text408,23143256.0511959
text409,40148688.03410291
text410,13554841.542559735
text411,1101143.492806223
text412,1538394.5259851739
text413,4774207.1550211515
text414,479561863.8229609
text415,55446958.22124466
text416,14151966.262785137
text417,45363999.86425648
text418,19900895.621322796
text419,432719573.0187098
text420,1902949070.3379874
text421,136152072.4685502
text422,-440868.29131595517
text423,73884811.4587179
text424,7647306.60163929
text425,49279484.95442065
text426,782975110.6567388
text427,67856865.83003433
text428,33794611.70370224
text429,-507308.3708883608
text430,-503546.83736824855
text431,48167398.48855259
text432,-40960.83547462203
text433,10011374.068327727
text434,1245243581.1088517
text435,1093221727.337615
text436,178707576.71474394
text437,41284780.942296945
text438,-253907.04785277185
text439,4955892.986697063
text440,88439747.06081839
text441,222663689.44154534
text442,404387.4399713592
text443,77719438.57560146
text444,143708264.82941943
text445,50432294.1702342
text446,13178940.26329362
text447,-468808.32010939263
text448,10088743.623861408
text449,816292.2575000048
text450,1618358.711272018
text451,-468808.32010939263
text452,26986992.414257478
text453,413880367.6150628
text454,861480431.4946021
text455,156532558.8042255
text456,5615211.834136196
text457,211038107.79392034
text458,50778788.89192243
text459,20867878.817786276
text460,-498710.9827375651
text461,2850176.8580815895
text462,1046985.0848572878
text463,-470320.14505032555
text464,23115194.79629317
text465,15415097.038660329
text466,211140420.2289947
text467,82358552.55345401
text468,101722379.17971641
text469,3205931.4658062
text470,-507308.3708883608
text471,10078091.50705273
text472,25505321.22737683
text473,-470320.14505032555
text474,1237487.2184359722
text475,27169601.57308221
text476,12709931.29594104
text477,-453873.4680526736
text478,7237538.472283462
text479,-470320.14505032555
text480,37396015.92607309
text481,116999617.59088445
text482,161855165.45543954
text483,95893206.83437556
text484,38137805.62428945
text485,4146227.140909962
text486,15399801.998873314
text487,282264.75819625927
text488,291822243.6295712
text489,5434837.365298956
text490,-505383.96968440915
text491,-507308.3708883608
text492,6587642.945630887
text493,10520344.980210314
text494,72838616.95939332
text495,5052804.191121742
text496,-100115.21061924845
text497,64483448.61878752
text498,60687342.57282238
text499,648457.5161131035
text500,23186786.6229825
text501,10624159.085663842
text502,1099309.9128062224
text503,1167448.7227865835
text504,203244467.51864868
text505,28150680.67634865
text506,45245956.6332356
text507,-498710.9827375651
text508,224383.65348304372
text509,16681064.93412747
text510,75870439.23373236
text511,48315515.15834687
