"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"decisão";0,32025731978065;0,880811593188315;-0,545780848636671;0,020731176014107;0,295233834455225;0,811988885274227;-0,503135955879459;0,0191113339473491;0,113845575435688;0,685212757752897;0,200708008705923;0,000233658105496073;0,000348573511698053;0,00263670957672017;0,0010123550108307;1,46064316288629e-06;0,00339857025665065;0,712939700812397;0,00172743554351807
"comunicação";-0,420802630957448;1,33997562392479;-0,608086733360481;0,679177027499562;-0,251313454453859;0,800265678392483;-0,363164025901346;0,405620859779934;0,0861196064730273;0,694832795558898;0,10916572193838;0,109881876029697;0,00016601416076007;0,0016833795126803;0,000346672424975057;0,000432468238306003;0,000937536622524317;1,07705837297743;0,00108759380175863
"vez";0,317359526972409;-0,236711681949387;-0,0305477197881812;-0,316434848768443;0,625026703710121;-0,466194047205542;-0,0601624938983704;-0,623205587528952;0,516732463848856;0,228740685512108;0,00290623249030207;0,251620618148733;0,000377703764153855;0,000210129784587114;3,49949864013026e-06;0,000375505968883563;0,00375014649009727;0,331612184625252;0,000412391012743681
"tratar";0,319411478508605;0,660879525780786;-0,0459392440734002;0,151344693618119;0,425390288554435;0,880155382906919;-0,0611816093260087;0,201559953919;0,22080728403683;0,752139369499485;0,00277261863288075;0,0242807278308065;0,000442385635334932;0,00189384561831252;9,15098129653241e-06;9,93194659082856e-05;0,00433610687917497;0,510570401157296;0,0011303455968479
"família";0,306772253691754;-0,889160909302676;0,487247134466335;0,926932539481283;0,217940360371168;-0,631687014289418;0,346155217095066;0,658521131762128;0,0730586209388563;0,488361487579477;0,111878850170527;0,326701041311141;0,000341894490177975;0,00287223963454715;0,000862498871606151;0,0031214487185311;0,00363295441228173;0,852495617177814;0,00264024517713921
"rural";0,298721733960553;-1,50764659146581;-1,74842820249661;0,74247578551833;0,122253502559269;-0,617012608974002;-0,715553799499716;0,303862273901526;0,0221782214818362;0,449503981081058;0,461210058203006;0,0671077392341024;0,00026143992247861;0,006659434679358;0,00895640800212561;0,00161511277417398;0,00292980194538849;1,5066600627114;0,00665072232675943
"população";0,306104520991974;-0,997341894900703;-1,31502791993206;0,232933110917087;0,180626524694007;-0,588512707436859;-0,775973259993585;0,137449450843688;0,0477702333518824;0,403503558485635;0,535177581530652;0,0135486266318344;0,000307465062417476;0,00326395686734742;0,00567448213355484;0,00017804047304844;0,00328137817883511;1,05196883933128;0,00363129922534538
"preso";0,324156832685226;1,97110298901777;-0,373028232053483;0,448941383035928;0,15576143211402;0,947139759080039;-0,179244753727074;0,215721976851954;0,0310908445538501;0,914707333296232;0,0249928425553682;0,0292089795945534;0,000295542441373072;0,0109276840313553;0,000391374837198493;0,000566876921323461;0,00281260986757295;1,38086344740976;0,00536303910106843
"constituição";0,324344828294508;1,88921655283175;-0,35549931599579;0,355351757457235;0,163672943379877;0,953348433239669;-0,179394318461989;0,179319856536842;0,0341149811707202;0,920949961592598;0,0248781917247406;0,0200568655119437;0,000345199565681357;0,0117116954339409;0,000414699798764477;0,000414355607967007;0,00328137817883511;1,31900433413368;0,00570885129930574
"pronunciamento";0,32090905292382;0,630761858572073;0,757830376409414;0,209316349458865;0,303370981475498;0,596289953084448;0,716414021320386;0,197876955466503;0,130417929392616;0,40090879188274;0,441496710590086;0,0271765681345606;4,82749889832242e-05;0,000186504405123308;0,00026921686600672;2,05383026606286e-05;0,000468768311262159;0,667459826983674;0,000208837511138908
"ministro";0,320034995243752;0,77993723544416;-0,345454566527484;0,0441408053342768;0,350859094673293;0,855056716911558;-0,378726946314956;0,0483922171884319;0,155224011465797;0,733541418399732;0,109788266713995;0,00144630342047953;0,000288074247783434;0,00171091646426517;0,000335653648286957;5,48011914841257e-06;0,00281260986757295;0,610140469565068;0,00104705419224493
"ficar";0,310413751929795;-0,541231535542279;0,483559866315447;0,675344756701128;0,298805221610686;-0,520991122058854;0,465476197875085;0,650088916599722;0,138688401519407;0,335479349411666;0,20430021545145;0,321532033617478;0,000361351730503719;0,00109853631807038;0,000876897294966882;0,00171040633926152;0,00375014649009727;0,626084129226617;0,00146998743464461
"divulgar";0,318936808831032;0,201022797475361;-0,583027730005832;-0,388155452232495;0,40095898229877;0,252720583083511;-0,732967154628265;-0,487978843430747;0,245695155051064;0,0776639182129351;0,498397455487757;0,178243471248247;5,96042939337408e-05;2,36787560675144e-05;0,000199180437100523;8,82835199213718e-05;0,000585960389077698;0,483301520360926;0,000136868838382271
"servidor";0,324871697978925;-0,762046319882705;0,538527855827872;-1,70041341937269;0,165191209543722;-0,387486364903146;0,27383138768513;-0,864628563269838;0,0488652118908637;0,213934161267829;0,0815084182123212;0,655692208628987;0,000272110118744828;0,00149721329663999;0,000747717043602067;0,00745469676892296;0,00257822571194187;1,10388491420045;0,0031417276319683
"plenário";0,110947321397619;1,16216696744867;-0,0644985961215734;0,16548982369601;0,0939527250605025;0,984149524221374;-0,0546188839159178;0,140140561395797;0,011160585536375;0,974387627199736;0,00228962285476842;0,0121621644091237;4,03914950789389e-05;0,00443193457007001;1,36507593163375e-05;8,98667161507346e-05;0,00328137817883511;0,788833134218797;0,00204186288315488
"passar";-0,311459898007341;-0,235296479616759;-0,0974352286405787;-1,07255918692274;-0,271890534709672;-0,205403283272109;-0,0850565886142479;-0,93629610972685;0,136576945528007;0,0620219404432953;0,00811363056670672;0,793287483461993;0,00031831753262262;0,00018167164337995;3,11521699105557e-05;0,00377484236079532;0,00328137817883511;0,633031399416455;0,00131494258456819
