"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"283";283;0;0;0;0;0;0;0;3;3
"284";284;0;0;0;0;0;0;4;4;4
"285";285;0;0;0;0;0;0;0;0;0
"286";286;0;0;0;0;0;0;0;0;0
"287";287;5;5;5;5;5;5;5;5;5
"288";288;5;5;5;5;5;5;5;5;5
"289";289;0;0;0;0;0;0;0;0;1
"290";290;0;0;0;0;0;0;0;0;1
"291";291;0;0;0;0;0;0;0;0;1
"292";292;0;0;0;0;0;0;0;2;2
"293";293;0;0;0;0;0;0;0;0;1
"294";294;0;0;0;0;0;0;0;0;1
"295";295;0;0;0;0;0;0;0;0;1
"296";296;0;0;0;0;0;0;0;2;2
"297";297;0;0;0;0;0;0;0;0;1
"298";298;0;0;0;0;0;0;0;0;1
"299";299;5;5;5;5;5;5;5;5;5
"300";300;5;5;5;5;5;5;5;5;5
"301";301;0;0;0;0;0;0;0;3;3
"302";302;0;0;0;0;0;0;0;3;3
"303";303;0;0;0;0;0;0;0;2;2
"304";304;0;0;0;0;0;0;0;2;2
"305";305;0;0;0;0;0;0;4;4;4
"306";306;0;0;0;0;0;0;0;2;2
"307";307;0;0;0;0;0;0;0;3;3
"308";308;0;0;0;0;0;0;0;3;3
"309";309;0;0;0;0;0;0;0;3;3
"310";310;0;0;0;0;0;0;0;2;2
"311";311;0;0;0;0;0;0;0;2;2
"312";312;0;0;0;0;0;0;4;4;4
"313";313;0;0;0;0;0;0;0;0;0
"314";314;0;0;0;0;0;0;0;0;0
"315";315;5;5;5;5;5;5;5;5;5
"316";316;5;5;5;5;5;5;5;5;5
"317";317;5;5;5;5;5;5;5;5;5
"318";318;0;0;0;0;0;0;4;4;4
"319";319;0;0;0;0;0;0;0;3;3
"320";320;0;0;0;0;0;0;0;3;3
"321";321;0;0;0;0;0;0;0;3;3
"322";322;0;0;0;0;0;0;0;3;3
"323";323;0;0;0;0;0;0;0;3;3
"324";324;0;0;0;0;0;0;0;3;3
"325";325;0;0;0;0;0;0;0;3;3
"326";326;0;0;0;0;0;0;4;4;4
"327";327;5;5;5;5;5;5;5;5;5
"328";328;5;5;5;5;5;5;5;5;5
"329";329;0;0;0;0;0;0;4;4;4
"330";330;5;5;5;5;5;5;5;5;5
"331";331;5;5;5;5;5;5;5;5;5
"332";332;0;0;0;0;0;0;0;3;3
"333";333;0;0;0;0;0;0;0;3;3
"334";334;0;0;0;0;0;0;0;0;1
"335";335;0;0;0;0;0;0;0;2;2
"336";336;0;0;0;0;0;0;0;3;3
"337";337;0;0;0;0;0;0;0;2;2
"338";338;0;0;0;0;0;0;0;2;2
"339";339;0;0;0;0;0;0;0;3;3
"340";340;0;0;0;0;0;0;0;0;0
"341";341;0;0;0;0;0;0;0;2;2
"342";342;5;5;5;5;5;5;5;5;5
"343";343;0;0;0;0;0;0;0;2;2
"344";344;0;0;0;0;0;0;0;3;3
"345";345;0;0;0;0;0;0;0;3;3
"346";346;0;0;0;0;0;0;0;3;3
"347";347;0;0;0;0;0;0;0;3;3
"348";348;0;0;0;0;0;0;0;3;3
"349";349;0;0;0;0;0;0;0;3;3
"350";350;0;0;0;0;0;0;0;3;3
"351";351;0;0;0;0;0;0;0;2;2
"352";352;5;5;5;5;5;5;5;5;5
"353";353;5;5;5;5;5;5;5;5;5
"354";354;0;0;0;0;0;0;4;4;4
